ID	pLDDT_mean	pTM	ipTM	ranking_score	model_cif
WWF12264	0.68	0.62	0.62	0.701	structures/output/WWF12264/WWF12264_model.cif
WWF12268	0.88	0.74	0.74	0.785	structures/output/WWF12268/WWF12268_model.cif
WWF12276	0.76	0.63	0.63	0.699	structures/output/WWF12276/WWF12276_model.cif
WWF12279	0.8	0.83	0.83	0.851	structures/output/WWF12279/WWF12279_model.cif
WWF12281	0.91	0.91	0.91	0.933	structures/output/WWF12281/WWF12281_model.cif
WWF12289	0.79	0.74	0.74	0.818	structures/output/WWF12289/WWF12289_model.cif
WWF12292	0.85	0.85	0.85	0.897	structures/output/WWF12292/WWF12292_model.cif
WWF12293	0.85	0.89	0.89	0.919	structures/output/WWF12293/WWF12293_model.cif
WWF12295	0.85	0.87	0.87	0.917	structures/output/WWF12295/WWF12295_model.cif
WWF12296	0.63	0.48	0.48	0.58	structures/output/WWF12296/WWF12296_model.cif
WWF12297	0.72	0.75	0.75	0.837	structures/output/WWF12297/WWF12297_model.cif
WWF12298	0.78	0.82	0.82	0.875	structures/output/WWF12298/WWF12298_model.cif
WWF12302	0.79	0.78	0.78	0.825	structures/output/WWF12302/WWF12302_model.cif
WWF12303	0.84	0.82	0.82	0.906	structures/output/WWF12303/WWF12303_model.cif
WWF12312	0.81	0.67	0.67	0.724	structures/output/WWF12312/WWF12312_model.cif
WWF12314	0.88	0.88	0.88	0.937	structures/output/WWF12314/WWF12314_model.cif
WWF12319	0.87	0.87	0.87	0.92	structures/output/WWF12319/WWF12319_model.cif
WWF12320	0.83	0.85	0.85	0.904	structures/output/WWF12320/WWF12320_model.cif
WWF12324	0.71	0.67	0.67	0.805	structures/output/WWF12324/WWF12324_model.cif
WWF12330	0.82	0.76	0.76	0.807	structures/output/WWF12330/WWF12330_model.cif
WWF12334	0.7	0.74	0.74	0.819	structures/output/WWF12334/WWF12334_model.cif
WWF12336	0.64	0.4	0.4	0.525	structures/output/WWF12336/WWF12336_model.cif
WWF12338	0.83	0.84	0.84	0.913	structures/output/WWF12338/WWF12338_model.cif
WWF12340	0.88	0.89	0.89	0.944	structures/output/WWF12340/WWF12340_model.cif
WWF12344	0.77	0.73	0.73	0.798	structures/output/WWF12344/WWF12344_model.cif
WWF12345	0.87	0.85	0.85	0.911	structures/output/WWF12345/WWF12345_model.cif
WWF12348	0.81	0.81	0.81	0.891	structures/output/WWF12348/WWF12348_model.cif
WWF12349	0.74	0.53	0.53	0.627	structures/output/WWF12349/WWF12349_model.cif
WWF12350	0.73	0.61	0.61	0.696	structures/output/WWF12350/WWF12350_model.cif
WWF12359	0.81	0.84	0.84	0.878	structures/output/WWF12359/WWF12359_model.cif
WWF12360	0.72	0.5	0.5	0.701	structures/output/WWF12360/WWF12360_model.cif
WWF12362	0.87	0.67	0.67	0.691	structures/output/WWF12362/WWF12362_model.cif
WWF12365	0.86	0.88	0.88	0.928	structures/output/WWF12365/WWF12365_model.cif
WWF12371	0.87	0.86	0.86	0.896	structures/output/WWF12371/WWF12371_model.cif
WWF12373	0.76	0.75	0.75	0.855	structures/output/WWF12373/WWF12373_model.cif
WWF12375	0.86	0.85	0.85	0.909	structures/output/WWF12375/WWF12375_model.cif
WWF12380	0.84	0.81	0.81	0.904	structures/output/WWF12380/WWF12380_model.cif
WWF12381	0.69	0.6	0.6	0.738	structures/output/WWF12381/WWF12381_model.cif
WWF12382	0.74	0.67	0.67	0.796	structures/output/WWF12382/WWF12382_model.cif
WWF12383	0.86	0.85	0.85	0.845	structures/output/WWF12383/WWF12383_model.cif
WWF12391	0.83	0.79	0.79	0.82	structures/output/WWF12391/WWF12391_model.cif
WWF12393	0.9	0.89	0.89	0.934	structures/output/WWF12393/WWF12393_model.cif
WWF12394	0.77	0.82	0.82	0.84	structures/output/WWF12394/WWF12394_model.cif
WWF12400	0.81	0.69	0.69	0.774	structures/output/WWF12400/WWF12400_model.cif
WWF12403	0.78	0.78	0.78	0.874	structures/output/WWF12403/WWF12403_model.cif
WWF12409	0.83	0.83	0.83	0.884	structures/output/WWF12409/WWF12409_model.cif
WWF12421	0.85	0.86	0.86	0.91	structures/output/WWF12421/WWF12421_model.cif
WWF12423	0.84	0.6	0.6	0.615	structures/output/WWF12423/WWF12423_model.cif
WWF12425	0.77	0.76	0.76	0.877	structures/output/WWF12425/WWF12425_model.cif
WWF12427	0.84	0.83	0.83	0.893	structures/output/WWF12427/WWF12427_model.cif
WWF12430	0.73	0.72	0.72	0.825	structures/output/WWF12430/WWF12430_model.cif
WWF12436	0.81	0.52	0.52	0.692	structures/output/WWF12436/WWF12436_model.cif
WWF12438	0.85	0.87	0.87	0.908	structures/output/WWF12438/WWF12438_model.cif
WWF12439	0.83	0.81	0.81	0.877	structures/output/WWF12439/WWF12439_model.cif
WWF12441	0.83	0.84	0.84	0.882	structures/output/WWF12441/WWF12441_model.cif
WWF12442	0.82	0.82	0.82	0.896	structures/output/WWF12442/WWF12442_model.cif
WWF12443	0.82	0.82	0.82	0.862	structures/output/WWF12443/WWF12443_model.cif
WWF12444	0.8	0.8	0.8	0.868	structures/output/WWF12444/WWF12444_model.cif
WWF12446	0.83	0.8	0.8	0.878	structures/output/WWF12446/WWF12446_model.cif
WWF12449	0.79	0.76	0.76	0.82	structures/output/WWF12449/WWF12449_model.cif
WWF12453	0.89	0.88	0.88	0.915	structures/output/WWF12453/WWF12453_model.cif
WWF12454	0.78	0.79	0.79	0.874	structures/output/WWF12454/WWF12454_model.cif
WWF12455	0.88	0.86	0.86	0.917	structures/output/WWF12455/WWF12455_model.cif
WWF12460	0.82	0.69	0.69	0.746	structures/output/WWF12460/WWF12460_model.cif
WWF12461	0.6	0.29	0.29	0.523	structures/output/WWF12461/WWF12461_model.cif
WWF12463	0.74	0.71	0.71	0.793	structures/output/WWF12463/WWF12463_model.cif
WWF12465	0.86	0.87	0.87	0.907	structures/output/WWF12465/WWF12465_model.cif
WWF12466	0.89	0.87	0.87	0.924	structures/output/WWF12466/WWF12466_model.cif
WWF12468	0.87	0.88	0.88	0.913	structures/output/WWF12468/WWF12468_model.cif
WWF12469	0.82	0.75	0.75	0.787	structures/output/WWF12469/WWF12469_model.cif
WWF12471	0.83	0.7	0.7	0.77	structures/output/WWF12471/WWF12471_model.cif
WWF12472	0.84	0.83	0.83	0.92	structures/output/WWF12472/WWF12472_model.cif
WWF12473	0.78	0.77	0.77	0.869	structures/output/WWF12473/WWF12473_model.cif
WWF12475	0.84	0.83	0.83	0.909	structures/output/WWF12475/WWF12475_model.cif
WWF12481	0.81	0.8	0.8	0.879	structures/output/WWF12481/WWF12481_model.cif
WWF12487	0.83	0.79	0.79	0.865	structures/output/WWF12487/WWF12487_model.cif
WWF12492	0.85	0.85	0.85	0.921	structures/output/WWF12492/WWF12492_model.cif
WWF12494	0.8	0.83	0.83	0.903	structures/output/WWF12494/WWF12494_model.cif
WWF12496	0.81	0.79	0.79	0.865	structures/output/WWF12496/WWF12496_model.cif
WWF12498	0.82	0.89	0.89	0.895	structures/output/WWF12498/WWF12498_model.cif
WWF12499	0.72	0.62	0.62	0.688	structures/output/WWF12499/WWF12499_model.cif
WWF12500	0.72	0.76	0.76	0.859	structures/output/WWF12500/WWF12500_model.cif
WWF12502	0.85	0.84	0.84	0.902	structures/output/WWF12502/WWF12502_model.cif
WWF12504	0.79	0.78	0.78	0.87	structures/output/WWF12504/WWF12504_model.cif
WWF12507	0.86	0.86	0.86	0.911	structures/output/WWF12507/WWF12507_model.cif
WWF12508	0.84	0.8	0.8	0.867	structures/output/WWF12508/WWF12508_model.cif
WWF12509	0.78	0.77	0.77	0.797	structures/output/WWF12509/WWF12509_model.cif
WWF12512	0.79	0.74	0.74	0.85	structures/output/WWF12512/WWF12512_model.cif
WWF12518	0.89	0.9	0.9	0.94	structures/output/WWF12518/WWF12518_model.cif
WWF12519	0.73	0.72	0.72	0.788	structures/output/WWF12519/WWF12519_model.cif
WWF12520	0.8	0.47	0.47	0.565	structures/output/WWF12520/WWF12520_model.cif
WWF12524	0.74	0.57	0.57	0.656	structures/output/WWF12524/WWF12524_model.cif
WWF12528	0.71	0.67	0.67	0.784	structures/output/WWF12528/WWF12528_model.cif
WWF12532	0.73	0.66	0.66	0.744	structures/output/WWF12532/WWF12532_model.cif
WWF12536	0.74	0.65	0.65	0.787	structures/output/WWF12536/WWF12536_model.cif
WWF12543	0.83	0.84	0.84	0.906	structures/output/WWF12543/WWF12543_model.cif
WWF12544	0.85	0.84	0.84	0.88	structures/output/WWF12544/WWF12544_model.cif
WWF12548	0.72	0.72	0.72	0.75	structures/output/WWF12548/WWF12548_model.cif
WWF12550	0.8	0.8	0.8	0.874	structures/output/WWF12550/WWF12550_model.cif
WWF12556	0.83	0.83	0.83	0.877	structures/output/WWF12556/WWF12556_model.cif
WWF12562	0.7	0.59	0.59	0.739	structures/output/WWF12562/WWF12562_model.cif
WWF12571	0.84	0.89	0.89	0.908	structures/output/WWF12571/WWF12571_model.cif
WWF12580	0.75	0.65	0.65	0.759	structures/output/WWF12580/WWF12580_model.cif
WWF12585	0.79	0.6	0.6	0.684	structures/output/WWF12585/WWF12585_model.cif
WWF12588	0.79	0.8	0.8	0.892	structures/output/WWF12588/WWF12588_model.cif
WWF12591	0.77	0.76	0.76	0.858	structures/output/WWF12591/WWF12591_model.cif
WWF12594	0.86	0.91	0.91	0.919	structures/output/WWF12594/WWF12594_model.cif
WWF12599	0.7	0.64	0.64	0.687	structures/output/WWF12599/WWF12599_model.cif
WWF12601	0.84	0.79	0.79	0.888	structures/output/WWF12601/WWF12601_model.cif
WWF12605	0.75	0.74	0.74	0.861	structures/output/WWF12605/WWF12605_model.cif
WWF12606	0.82	0.8	0.8	0.878	structures/output/WWF12606/WWF12606_model.cif
WWF12607	0.84	0.84	0.84	0.917	structures/output/WWF12607/WWF12607_model.cif
WWF12609	0.84	0.83	0.83	0.908	structures/output/WWF12609/WWF12609_model.cif
WWF12610	0.82	0.84	0.84	0.873	structures/output/WWF12610/WWF12610_model.cif
WWF12621	0.63	0.42	0.42	0.682	structures/output/WWF12621/WWF12621_model.cif
WWF12623	0.84	0.85	0.85	0.904	structures/output/WWF12623/WWF12623_model.cif
WWF12624	0.81	0.63	0.63	0.715	structures/output/WWF12624/WWF12624_model.cif
WWF12625	0.84	0.84	0.84	0.878	structures/output/WWF12625/WWF12625_model.cif
WWF12627	0.81	0.82	0.82	0.879	structures/output/WWF12627/WWF12627_model.cif
WWF12636	0.88	0.89	0.89	0.888	structures/output/WWF12636/WWF12636_model.cif
WWF12639	0.88	0.87	0.87	0.922	structures/output/WWF12639/WWF12639_model.cif
WWF12641	0.89	0.88	0.88	0.919	structures/output/WWF12641/WWF12641_model.cif
WWF12645	0.86	0.86	0.86	0.907	structures/output/WWF12645/WWF12645_model.cif
WWF12646	0.85	0.85	0.85	0.893	structures/output/WWF12646/WWF12646_model.cif
WWF12651	0.82	0.73	0.73	0.764	structures/output/WWF12651/WWF12651_model.cif
WWF12652	0.91	0.92	0.92	0.955	structures/output/WWF12652/WWF12652_model.cif
WWF12657	0.82	0.85	0.85	0.898	structures/output/WWF12657/WWF12657_model.cif
WWF12659	0.87	0.81	0.81	0.84	structures/output/WWF12659/WWF12659_model.cif
WWF12665	0.73	0.52	0.52	0.637	structures/output/WWF12665/WWF12665_model.cif
WWF12668	0.66	0.61	0.61	0.705	structures/output/WWF12668/WWF12668_model.cif
WWF12670	0.85	0.85	0.85	0.881	structures/output/WWF12670/WWF12670_model.cif
WWF12672	0.82	0.83	0.83	0.9	structures/output/WWF12672/WWF12672_model.cif
WWF12677	0.85	0.85	0.85	0.919	structures/output/WWF12677/WWF12677_model.cif
WWF12682	0.78	0.69	0.69	0.841	structures/output/WWF12682/WWF12682_model.cif
WWF12683	0.75	0.72	0.72	0.817	structures/output/WWF12683/WWF12683_model.cif
WWF12694	0.89	0.85	0.85	0.916	structures/output/WWF12694/WWF12694_model.cif
WWF12697	0.84	0.83	0.83	0.898	structures/output/WWF12697/WWF12697_model.cif
WWF12705	0.83	0.81	0.81	0.869	structures/output/WWF12705/WWF12705_model.cif
WWF12707	0.84	0.83	0.83	0.876	structures/output/WWF12707/WWF12707_model.cif
WWF12708	0.82	0.64	0.64	0.699	structures/output/WWF12708/WWF12708_model.cif
WWF12709	0.85	0.89	0.89	0.918	structures/output/WWF12709/WWF12709_model.cif
WWF12713	0.79	0.81	0.81	0.882	structures/output/WWF12713/WWF12713_model.cif
WWF12715	0.68	0.68	0.68	0.777	structures/output/WWF12715/WWF12715_model.cif
WWF12716	0.87	0.9	0.9	0.927	structures/output/WWF12716/WWF12716_model.cif
WWF12718	0.77	0.78	0.78	0.844	structures/output/WWF12718/WWF12718_model.cif
WWF12719	0.68	0.67	0.67	0.774	structures/output/WWF12719/WWF12719_model.cif
WWF12720	0.89	0.87	0.87	0.913	structures/output/WWF12720/WWF12720_model.cif
WWF12721	0.71	0.7	0.7	0.783	structures/output/WWF12721/WWF12721_model.cif
WWF12724	0.78	0.55	0.55	0.595	structures/output/WWF12724/WWF12724_model.cif
WWF12726	0.89	0.88	0.88	0.927	structures/output/WWF12726/WWF12726_model.cif
WWF12727	0.85	0.86	0.86	0.896	structures/output/WWF12727/WWF12727_model.cif
WWF12730	0.71	0.73	0.73	0.815	structures/output/WWF12730/WWF12730_model.cif
WWF12733	0.84	0.65	0.65	0.717	structures/output/WWF12733/WWF12733_model.cif
WWF12735	0.91	0.9	0.9	0.898	structures/output/WWF12735/WWF12735_model.cif
WWF12742	0.87	0.85	0.85	0.878	structures/output/WWF12742/WWF12742_model.cif
WWF12743	0.77	0.79	0.79	0.836	structures/output/WWF12743/WWF12743_model.cif
WWF12750	0.77	0.77	0.77	0.871	structures/output/WWF12750/WWF12750_model.cif
WWF12751	0.82	0.8	0.8	0.876	structures/output/WWF12751/WWF12751_model.cif
WWF12754	0.83	0.85	0.85	0.901	structures/output/WWF12754/WWF12754_model.cif
WWF12756	0.83	0.76	0.76	0.954	structures/output/WWF12756/WWF12756_model.cif
WWF12759	0.85	0.85	0.85	0.918	structures/output/WWF12759/WWF12759_model.cif
WWF12760	0.79	0.76	0.76	0.875	structures/output/WWF12760/WWF12760_model.cif
WWF12764	0.86	0.82	0.82	0.897	structures/output/WWF12764/WWF12764_model.cif
WWF12765	0.76	0.71	0.71	0.84	structures/output/WWF12765/WWF12765_model.cif
WWF12766	0.88	0.74	0.74	0.774	structures/output/WWF12766/WWF12766_model.cif
WWF12768	0.81	0.68	0.68	0.745	structures/output/WWF12768/WWF12768_model.cif
WWF12773	0.85	0.82	0.82	0.825	structures/output/WWF12773/WWF12773_model.cif
WWF12780	0.8	0.79	0.79	0.842	structures/output/WWF12780/WWF12780_model.cif
WWF12782	0.78	0.63	0.63	0.697	structures/output/WWF12782/WWF12782_model.cif
WWF12784	0.78	0.72	0.72	0.847	structures/output/WWF12784/WWF12784_model.cif
WWF12787	0.8	0.78	0.78	0.881	structures/output/WWF12787/WWF12787_model.cif
WWF12791	0.79	0.79	0.79	0.857	structures/output/WWF12791/WWF12791_model.cif
WWF12793	0.78	0.77	0.77	0.858	structures/output/WWF12793/WWF12793_model.cif
WWF12797	0.95	0.93	0.93	0.929	structures/output/WWF12797/WWF12797_model.cif
WWF12798	0.72	0.68	0.68	0.779	structures/output/WWF12798/WWF12798_model.cif
WWF12802	0.83	0.85	0.85	0.91	structures/output/WWF12802/WWF12802_model.cif
WWF12803	0.79	0.81	0.81	0.85	structures/output/WWF12803/WWF12803_model.cif
WWF12804	0.77	0.69	0.69	0.75	structures/output/WWF12804/WWF12804_model.cif
WWF12806	0.79	0.8	0.8	0.892	structures/output/WWF12806/WWF12806_model.cif
WWF12809	0.74	0.68	0.68	0.772	structures/output/WWF12809/WWF12809_model.cif
WWF12811	0.73	0.72	0.72	0.854	structures/output/WWF12811/WWF12811_model.cif
WWF12812	0.78	0.81	0.81	0.86	structures/output/WWF12812/WWF12812_model.cif
WWF12818	0.89	0.9	0.9	0.913	structures/output/WWF12818/WWF12818_model.cif
WWF12819	0.84	0.84	0.84	0.926	structures/output/WWF12819/WWF12819_model.cif
WWF12822	0.74	0.74	0.74	0.847	structures/output/WWF12822/WWF12822_model.cif
WWF12824	0.88	0.91	0.91	0.912	structures/output/WWF12824/WWF12824_model.cif
WWF12825	0.85	0.84	0.84	0.909	structures/output/WWF12825/WWF12825_model.cif
WWF12829	0.74	0.76	0.76	0.859	structures/output/WWF12829/WWF12829_model.cif
WWF12831	0.82	0.81	0.81	0.876	structures/output/WWF12831/WWF12831_model.cif
WWF12832	0.76	0.64	0.64	0.719	structures/output/WWF12832/WWF12832_model.cif
WWF12833	0.73	0.61	0.61	0.721	structures/output/WWF12833/WWF12833_model.cif
WWF12840	0.84	0.85	0.85	0.882	structures/output/WWF12840/WWF12840_model.cif
WWF12853	0.83	0.78	0.78	0.857	structures/output/WWF12853/WWF12853_model.cif
WWF12854	0.85	0.82	0.82	0.896	structures/output/WWF12854/WWF12854_model.cif
WWF12855	0.84	0.83	0.83	0.887	structures/output/WWF12855/WWF12855_model.cif
WWF12857	0.85	0.79	0.79	0.791	structures/output/WWF12857/WWF12857_model.cif
WWF12858	0.83	0.82	0.82	0.896	structures/output/WWF12858/WWF12858_model.cif
WWF12860	0.62	0.5	0.5	0.741	structures/output/WWF12860/WWF12860_model.cif
WWF12863	0.81	0.84	0.84	0.912	structures/output/WWF12863/WWF12863_model.cif
WWF12868	0.77	0.78	0.78	0.877	structures/output/WWF12868/WWF12868_model.cif
WWF12869	0.88	0.88	0.88	0.913	structures/output/WWF12869/WWF12869_model.cif
WWF12871	0.69	0.72	0.72	0.857	structures/output/WWF12871/WWF12871_model.cif
WWF12875	0.84	0.63	0.63	0.719	structures/output/WWF12875/WWF12875_model.cif
WWF12879	0.87	0.87	0.87	0.922	structures/output/WWF12879/WWF12879_model.cif
WWF12882	0.9	0.89	0.89	0.934	structures/output/WWF12882/WWF12882_model.cif
WWF12888	0.81	0.79	0.79	0.863	structures/output/WWF12888/WWF12888_model.cif
WWF12896	0.79	0.75	0.75	0.824	structures/output/WWF12896/WWF12896_model.cif
WWF12897	0.69	0.7	0.7	0.829	structures/output/WWF12897/WWF12897_model.cif
WWF12898	0.85	0.85	0.85	0.92	structures/output/WWF12898/WWF12898_model.cif
WWF12901	0.88	0.83	0.83	0.871	structures/output/WWF12901/WWF12901_model.cif
WWF12907	0.74	0.56	0.56	0.646	structures/output/WWF12907/WWF12907_model.cif
WWF12909	0.78	0.79	0.79	0.88	structures/output/WWF12909/WWF12909_model.cif
WWF12914	0.81	0.86	0.86	0.897	structures/output/WWF12914/WWF12914_model.cif
WWF12917	0.9	0.84	0.84	0.92	structures/output/WWF12917/WWF12917_model.cif
WWF12920	0.78	0.77	0.77	0.843	structures/output/WWF12920/WWF12920_model.cif
WWF12922	0.8	0.82	0.82	0.839	structures/output/WWF12922/WWF12922_model.cif
WWF12925	0.91	0.89	0.89	0.913	structures/output/WWF12925/WWF12925_model.cif
WWF12929	0.89	0.89	0.89	0.925	structures/output/WWF12929/WWF12929_model.cif
WWF12931	0.85	0.85	0.85	0.889	structures/output/WWF12931/WWF12931_model.cif
WWF12932	0.83	0.85	0.85	0.896	structures/output/WWF12932/WWF12932_model.cif
WWF12935	0.87	0.84	0.84	0.914	structures/output/WWF12935/WWF12935_model.cif
WWF12943	0.8	0.67	0.67	0.729	structures/output/WWF12943/WWF12943_model.cif
WWF12950	0.77	0.8	0.8	0.879	structures/output/WWF12950/WWF12950_model.cif
WWF12952	0.79	0.71	0.71	0.776	structures/output/WWF12952/WWF12952_model.cif
WWF12954	0.87	0.84	0.84	0.891	structures/output/WWF12954/WWF12954_model.cif
WWF12955	0.81	0.82	0.82	0.888	structures/output/WWF12955/WWF12955_model.cif
WWF12959	0.82	0.8	0.8	0.861	structures/output/WWF12959/WWF12959_model.cif
WWF12960	0.79	0.86	0.86	0.891	structures/output/WWF12960/WWF12960_model.cif
WWF12965	0.82	0.81	0.81	0.844	structures/output/WWF12965/WWF12965_model.cif
WWF12971	0.82	0.71	0.71	0.752	structures/output/WWF12971/WWF12971_model.cif
WWF12972	0.77	0.79	0.79	0.888	structures/output/WWF12972/WWF12972_model.cif
WWF12973	0.81	0.87	0.87	0.892	structures/output/WWF12973/WWF12973_model.cif
WWF12981	0.75	0.75	0.75	0.838	structures/output/WWF12981/WWF12981_model.cif
WWF12983	0.8	0.8	0.8	0.872	structures/output/WWF12983/WWF12983_model.cif
WWF12986	0.8	0.76	0.76	0.854	structures/output/WWF12986/WWF12986_model.cif
WWF12988	0.76	0.73	0.73	0.844	structures/output/WWF12988/WWF12988_model.cif
WWF12990	0.8	0.8	0.8	0.874	structures/output/WWF12990/WWF12990_model.cif
WWF12991	0.86	0.88	0.88	0.939	structures/output/WWF12991/WWF12991_model.cif
WWF12993	0.85	0.85	0.85	0.903	structures/output/WWF12993/WWF12993_model.cif
WWF12996	0.87	0.88	0.88	0.917	structures/output/WWF12996/WWF12996_model.cif
WWF12999	0.75	0.74	0.74	0.818	structures/output/WWF12999/WWF12999_model.cif
WWF13002	0.83	0.79	0.79	0.845	structures/output/WWF13002/WWF13002_model.cif
WWF13008	0.86	0.9	0.9	0.914	structures/output/WWF13008/WWF13008_model.cif
WWF13011	0.75	0.75	0.75	0.752	structures/output/WWF13011/WWF13011_model.cif
WWF13012	0.88	0.9	0.9	0.926	structures/output/WWF13012/WWF13012_model.cif
WWF13024	0.82	0.67	0.67	0.723	structures/output/WWF13024/WWF13024_model.cif
WWF13029	0.83	0.77	0.77	0.811	structures/output/WWF13029/WWF13029_model.cif
WWF13031	0.86	0.86	0.86	0.924	structures/output/WWF13031/WWF13031_model.cif
WWF13032	0.92	0.9	0.9	0.922	structures/output/WWF13032/WWF13032_model.cif
WWF13035	0.79	0.81	0.81	0.886	structures/output/WWF13035/WWF13035_model.cif
WWF13041	0.68	0.62	0.62	0.741	structures/output/WWF13041/WWF13041_model.cif
WWF13045	0.83	0.85	0.85	0.899	structures/output/WWF13045/WWF13045_model.cif
WWF13048	0.75	0.73	0.73	0.845	structures/output/WWF13048/WWF13048_model.cif
WWF13049	0.86	0.84	0.84	0.888	structures/output/WWF13049/WWF13049_model.cif
WWF13052	0.81	0.74	0.74	0.809	structures/output/WWF13052/WWF13052_model.cif
WWF13054	0.79	0.79	0.79	0.81	structures/output/WWF13054/WWF13054_model.cif
WWF13058	0.7	0.44	0.44	0.574	structures/output/WWF13058/WWF13058_model.cif
WWF13061	0.75	0.71	0.71	0.736	structures/output/WWF13061/WWF13061_model.cif
WWF13064	0.77	0.69	0.69	0.809	structures/output/WWF13064/WWF13064_model.cif
WWF13065	0.72	0.61	0.61	0.82	structures/output/WWF13065/WWF13065_model.cif
WWF13070	0.73	0.58	0.58	0.712	structures/output/WWF13070/WWF13070_model.cif
WWF13072	0.85	0.85	0.85	0.873	structures/output/WWF13072/WWF13072_model.cif
WWF13073	0.85	0.9	0.9	0.912	structures/output/WWF13073/WWF13073_model.cif
WWF13075	0.84	0.85	0.85	0.919	structures/output/WWF13075/WWF13075_model.cif
WWF13079	0.84	0.86	0.86	0.909	structures/output/WWF13079/WWF13079_model.cif
WWF13081	0.81	0.85	0.85	0.89	structures/output/WWF13081/WWF13081_model.cif
WWF13083	0.68	0.71	0.71	0.781	structures/output/WWF13083/WWF13083_model.cif
WWF13087	0.66	0.55	0.55	0.594	structures/output/WWF13087/WWF13087_model.cif
WWF13088	0.72	0.76	0.76	0.882	structures/output/WWF13088/WWF13088_model.cif
WWF13091	0.74	0.57	0.57	0.644	structures/output/WWF13091/WWF13091_model.cif
WWF13092	0.82	0.83	0.83	0.886	structures/output/WWF13092/WWF13092_model.cif
WWF13098	0.83	0.84	0.84	0.915	structures/output/WWF13098/WWF13098_model.cif
WWF13105	0.83	0.84	0.84	0.847	structures/output/WWF13105/WWF13105_model.cif
WWF13107	0.67	0.56	0.56	0.788	structures/output/WWF13107/WWF13107_model.cif
WWF13108	0.85	0.86	0.86	0.894	structures/output/WWF13108/WWF13108_model.cif
WWF13110	0.82	0.69	0.69	0.823	structures/output/WWF13110/WWF13110_model.cif
WWF13116	0.81	0.86	0.86	0.898	structures/output/WWF13116/WWF13116_model.cif
WWF13119	0.8	0.74	0.74	0.791	structures/output/WWF13119/WWF13119_model.cif
WWF13120	0.82	0.8	0.8	0.877	structures/output/WWF13120/WWF13120_model.cif
WWF13132	0.86	0.89	0.89	0.927	structures/output/WWF13132/WWF13132_model.cif
WWF13134	0.81	0.82	0.82	0.881	structures/output/WWF13134/WWF13134_model.cif
WWF13136	0.76	0.77	0.77	0.832	structures/output/WWF13136/WWF13136_model.cif
WWF13138	0.85	0.82	0.82	0.897	structures/output/WWF13138/WWF13138_model.cif
WWF13139	0.86	0.84	0.84	0.914	structures/output/WWF13139/WWF13139_model.cif
WWF13142	0.85	0.86	0.86	0.906	structures/output/WWF13142/WWF13142_model.cif
WWF13145	0.86	0.82	0.82	0.842	structures/output/WWF13145/WWF13145_model.cif
WWF13152	0.81	0.81	0.81	0.889	structures/output/WWF13152/WWF13152_model.cif
WWF13154	0.72	0.74	0.74	0.836	structures/output/WWF13154/WWF13154_model.cif
WWF13159	0.85	0.88	0.88	0.88	structures/output/WWF13159/WWF13159_model.cif
WWF13161	0.86	0.85	0.85	0.905	structures/output/WWF13161/WWF13161_model.cif
WWF13167	0.86	0.86	0.86	0.909	structures/output/WWF13167/WWF13167_model.cif
WWF13176	0.93	0.94	0.94	0.958	structures/output/WWF13176/WWF13176_model.cif
WWF13179	0.85	0.83	0.83	0.918	structures/output/WWF13179/WWF13179_model.cif
WWF13180	0.88	0.76	0.76	0.785	structures/output/WWF13180/WWF13180_model.cif
WWF13183	0.84	0.69	0.69	0.86	structures/output/WWF13183/WWF13183_model.cif
WWF13185	0.88	0.89	0.89	0.924	structures/output/WWF13185/WWF13185_model.cif
WWF13186	0.8	0.63	0.63	0.673	structures/output/WWF13186/WWF13186_model.cif
WWF13187	0.72	0.75	0.75	0.861	structures/output/WWF13187/WWF13187_model.cif
WWF13193	0.84	0.88	0.88	0.908	structures/output/WWF13193/WWF13193_model.cif
WWF13197	0.85	0.75	0.75	0.831	structures/output/WWF13197/WWF13197_model.cif
WWF13199	0.8	0.79	0.79	0.837	structures/output/WWF13199/WWF13199_model.cif
WWF13201	0.78	0.77	0.77	0.869	structures/output/WWF13201/WWF13201_model.cif
WWF13203	0.78	0.79	0.79	0.827	structures/output/WWF13203/WWF13203_model.cif
WWF13205	0.68	0.62	0.62	0.71	structures/output/WWF13205/WWF13205_model.cif
WWF13207	0.77	0.78	0.78	0.868	structures/output/WWF13207/WWF13207_model.cif
WWF13210	0.79	0.82	0.82	0.871	structures/output/WWF13210/WWF13210_model.cif
WWF13213	0.82	0.64	0.64	0.702	structures/output/WWF13213/WWF13213_model.cif
WWF13216	0.89	0.84	0.84	0.89	structures/output/WWF13216/WWF13216_model.cif
WWF13222	0.82	0.72	0.72	0.805	structures/output/WWF13222/WWF13222_model.cif
WWF13223	0.82	0.84	0.84	0.91	structures/output/WWF13223/WWF13223_model.cif
WWF13224	0.81	0.7	0.7	0.727	structures/output/WWF13224/WWF13224_model.cif
WWF13226	0.73	0.56	0.56	0.727	structures/output/WWF13226/WWF13226_model.cif
WWF13232	0.81	0.82	0.82	0.888	structures/output/WWF13232/WWF13232_model.cif
WWF13233	0.78	0.76	0.76	0.854	structures/output/WWF13233/WWF13233_model.cif
WWF13236	0.77	0.75	0.75	0.827	structures/output/WWF13236/WWF13236_model.cif
WWF13241	0.86	0.84	0.84	0.904	structures/output/WWF13241/WWF13241_model.cif
WWF13244	0.79	0.81	0.81	0.885	structures/output/WWF13244/WWF13244_model.cif
